                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.05228,                0.99135,                      1,                 2.4976,               0.003928,               0.003928,               0.003928
                     95,                0.05486,                0.99137,                      1,                 2.4975,               0.003862,               0.003862,               0.003862
                     96,                0.05392,                0.99147,                      1,                 2.4975,               0.003796,               0.003796,               0.003796
                     97,                0.05125,                0.99157,                      1,                 2.4975,                0.00373,                0.00373,                0.00373
                     98,                0.04931,                0.99159,                      1,                 2.4975,               0.003664,               0.003664,               0.003664
                     99,                0.04735,                0.99164,                      1,                 2.4974,               0.003598,               0.003598,               0.003598
                    100,                0.04754,                0.99162,                      1,                 2.4973,               0.003532,               0.003532,               0.003532
                    101,                0.04621,                0.99164,                      1,                 2.4974,               0.003466,               0.003466,               0.003466
                    102,                0.04627,                0.99169,                      1,                 2.4972,                 0.0034,                 0.0034,                 0.0034
                    103,                 0.0423,                0.99162,                      1,                 2.4973,               0.003334,               0.003334,               0.003334
                    104,                0.04373,                0.99159,                      1,                 2.4972,               0.003268,               0.003268,               0.003268
                    105,                0.04029,                0.99162,                      1,                 2.4972,               0.003202,               0.003202,               0.003202
                    106,                0.04432,                0.99167,                      1,                 2.4973,               0.003136,               0.003136,               0.003136
                    107,                0.04501,                0.99159,                      1,                 2.4973,                0.00307,                0.00307,                0.00307
                    108,                0.04579,                0.99162,                      1,                 2.4973,               0.003004,               0.003004,               0.003004
                    109,                0.03802,                0.99159,                0.99995,                 2.4973,               0.002938,               0.002938,               0.002938
                    110,                0.03739,                0.99157,                 0.9999,                 2.4973,               0.002872,               0.002872,               0.002872
                    111,                0.03745,                0.99159,                0.99985,                 2.4972,               0.002806,               0.002806,               0.002806
                    112,                0.03923,                0.99167,                0.99983,                 2.4974,                0.00274,                0.00274,                0.00274
                    113,                0.03706,                0.99164,                 0.9998,                 2.4973,               0.002674,               0.002674,               0.002674
                    114,                0.03609,                0.99164,                 0.9998,                 2.4973,               0.002608,               0.002608,               0.002608
                    115,                0.03239,                0.99169,                0.99975,                 2.4973,               0.002542,               0.002542,               0.002542
                    116,                 0.0335,                0.99172,                0.99978,                 2.4973,               0.002476,               0.002476,               0.002476
                    117,                0.03095,                0.99177,                0.99983,                 2.4972,                0.00241,                0.00241,                0.00241
                    118,                0.03435,                0.99174,                0.99985,                 2.4972,               0.002344,               0.002344,               0.002344
